,"DataURL","Title","DataContent","DataSourceDepartment","DataUpdateFrequency"
"DataSet1","http://www.sns.gov.uk/","Scottish Neighbourhood Statistics ","Scottish Neighbourhood Statistics is the Scottish Governments route to disseminate the range of small area statistics including information on health, education, poverty, unemployment, housing, population, crime and social / community issues at the data zone level and above which support a number of the Governments targets and commitments aimed at closing the gap between disadvantaged areas and the rest of Scotland.","Scottish Government OCS","Quarterly"
"DataSet10","http://www.travelinescotland.com/welcome.do","Traveline Scotland","up to date and impartial timetable information to get you to your destination by the quickest public transport mode.","Traveline Scotland","Other"
"DataSet11","http://www.sqa.org.uk/sqa/41276.html","SQA Qualifications","SQA Qualifications -  by subject","Scottish Qualifications Agency","Other"
"DataSet12","https://www.scotxed.net/default.aspx","ScotXed","Education statistics and related vocabularies","Scottish Government Education Directorate","Annual"
"DataSet13","http://www.scotland.gov.uk/Resource/Doc/254431/0101217.pdf","ISCJIS vocabularies","ISCJIS vocabularies","Scottish Government Justice Directorate","Other"
"DataSet14","http://www.scotland.gov.uk/Resource/Doc/82980/0059166.doc","eCare Multi-Agency Store data model and vocabulary","eCare Multi-Agency Store data model and vocabulary","Scottish Government Shared Services","Other"
"DataSet16","http://www.scan.org.uk/digitalarchive/index.htm","Digital Archive (Scottish Archive Network)","The purpose of the Digital Archive is to make digital images of historical records available online.","Scottish Archive Network","Other"
"DataSet17","http://www.tartanregister.gov.uk/search.aspx","The Scottish Register of Tartans","Tartans","Scottish Register of Tartans","Other"
"DataSet18","http://www.scotlandsimages.com/","Scotlands Images","SCOTLANDSIMAGES.COM is a new images resource drawn from Scotland's national collections, making available for licensed usage selected images from our contributors' extensive, and often unique, holdings.","ScotlandsImages","Other"
"DataSet19","http://www.nls.uk/catalogues/online/index.html","National Library of Scotland","various:  library catalogues, geneological resources etc","National Library of Scotland","Other"
"DataSet2","http://www.scotland.gov.uk/Topics/Statistics","Scottish Government Statistics","Top level of part of the Scottish Government website for the Statistics section.  Statistical tables on various topics.  Replicates some of the information available through the SNS site.","Scottish Government OCS","Other"
"DataSet20","http://www.scotbis.com/company.cfm","SCOTBIS","various business indexes and news snippets","Scottish Business Information Service","Other"
"DataSet21","http://www.historic-scotland.gov.uk/index/heritage/historicandlistedbuildings.htm","Historic Scotland","Historic and Listed Buildings in Scotland","Historic Scotland","Other"
"DataSet22","http://data.historic-scotland.gov.uk/pls/htmldb/f?p=2300:10:2034218261168363","Scheduled Monuments in Scotland","Scheduled Monuments in Scotland","Historic Scotland","Other"
"DataSet23","https://www.eservices.ros.gov.uk/shp/ros/shp/presentation/ui/pageflows/search.do","Scotland's House Prices™ Service Consumer Information ","House prices","Registers of Scotland","Other"
"DataSet24","http://www.scottishairquality.co.uk/","Air Quality in Scotland","Air Quality in Scotland","AEA Group","Other"
"DataSet25","http://apps.sepa.org.uk/Floodwarnings/default.aspx","River and coastal flooding updates for Scotland","Flood warnings in Scotland","Scottish Environmental Protection Agency","Other"
"DataSet26","http://www.publiccontractsscotland.gov.uk/","Public contracts Scotland","Public contract opportunities in Scotland","Scottish Government","Other"
"DataSet27","http://www.scotland.gov.uk/Consultations/Current","Scottish Government Consultations","Scottish Government Consultations","Scottish Government","Other"
"DataSet28","http://www.scotpho.org.uk/home/home.asp","Scottish Public Health Observatory","Public health intelligence in Scotland","Scottish Public Health Observatory","Other"
"DataSet29","http://scone.strath.ac.uk/scie/index.cfm","Scotland's Information Landscape","Scotland's Information Landscape is a distributed information infrastructure for Scotland.","Scottish Library and Information Council (SLIC)","Other"
"DataSet3","http://www.isdscotland.org/isd/CCC_FirstPage.jsp","iSD Scotland","Scotland has some of the best health service data in the world. Few other countries have information which combines high quality data, consistency, national coverage and the ability to link data to allow patient based analysis and follow up. Information Services Division (ISD) is Scotland's national organisation for health information, statistics and IT services.","ISD Scotland","Other"
"DataSet30","http://www.scotlandspeople.gov.uk/","ScotlandsPeople","The official government source of genealogical data for Scotland","General Register Office for Scotland, the National Archives of Scotland, Court of the Lord Lyon","Other"
"DataSet31","http://www.gro-scotland.gov.uk/statistics/index.html","General Register Office for Scotland statistics","The General Register Office for Scotland (GROS) publishes statistics at a number of different geography levels. Although some statistics are only available at Scotland level, many are available at sub-Scotland geographies (for example, council area or NHS Board).","The General Register Office for Scotland (GROS)","Other"
"DataSet32","http://www.bgs.ac.uk/data/baselineScotland/home.html","Baseline Scotland: groundwater chemistry data","Baseline Scotland: data on groundwater chemistry in Scotland to provide a scientific foundation to Scottish, UK and European water quality policy.","British Geological Survey and Scottish Environment Protection Agency","Other"
"DataSet33","http://www.csrs.ac.uk/datasets.htm","The Centre for the Study of Retailing in Scotland data sets","The Centre for the Study of Retailing in Scotland (CSRS) aims to enhance the knowledge and understanding of the retail sector in Scotland.","Centre for the Study of Retailing in Scotland","Other"
"DataSet34","http://www.esds.ac.uk/findingData/snDescription.asp?sn=5760","Growing Up in Scotland","The Growing Up in Scotland study is a a large-scale longitudinal social survey which follows the lives of groups of Scotland's children from infancy through to their teens.","Scottish Centre for Social Research","Other"
"DataSet35","http://mspallowances.scottish.parliament.uk/MSPAllowances/","Scottish Parliament MSP Allowances","MSPs' Expenses and Expenditure","Scottish Parliament",
"DataSet36","http://www.scotland.gov.uk/About/14944/hospitality","Scottish Government Ministerial Hospitality","Ministerial Hospitality
The government has adopted the practice of publishing on a quarterly basis the names of guests who have accepted an invitation to attend hospitality events hosted by Scottish Ministers.","Scottish Government",
"DataSet37","http://www.scotland.gov.uk/About/Directorates/expenditure/reports","Scottish Government expenditure over £25,000","Details of Scottish Government items of expenditure over £25,000","Scottish Government",
"DataSet38","http://www.scotland.gov.uk/Publications/2010/03/23110606/18","Scottish Local Government Financial Statistics","Scottish Local Government Financial Statistics","Scottish Government",
"DataSet39","http://www.scotland.gov.uk/About/Directorates/high-earners","Scottish Government Disclosure of High Earners","Disclosure of High Earners
The Scottish Government now publishes a list of names, job titles and salaries of high earners (those earning £150,000 or more per year) in Scottish NDPBs and Public Corporations.","Scottish Government",
"DataSet4","http://www.scotlandsplaces.gov.uk/","Scotlands Places","You can now find information about Scottish places past and present, selected from the holdings of the partner organisations. This includes digital copies of:

Maps and plans of cities, towns, villages, farms, roads, canals, harbours, churches, schools, public buildings, private houses, mines and quarries 
Photographs of the built environment in The Royal Commission on the Ancient and Historical Monuments of Scotland 
Archaeological reports on historic and prehistoric sites 
Manuscript records and printed books from millions of pages in government and private records, including tax rolls, owners of land and heritages, and the annual reports of county Medical Officers of Health","RCAHMS","Other"
"DataSet5","http://www.snh.gov.uk/publications-data-and-research/environmental-data/facts-and-figures/","Scottish National Heritage Facts","Various SNH facts and figures","Scottish Natural Heritage","Other"
"DataSet6","http://gateway.snh.gov.uk/pls/htmldb_ddtdb1/f?p=101:1:9566349954749131754","Scottish Natural Spaces","Natural Spaces provides an online data download facility giving access to a wide range of datasets including protected areas, habitats and species, landscape, open space and access. A simple one-off registration gives you instant access to data and provides you with a personal bookshelf showing all datasets downloaded along with details of any updates since your last visit. 

Data is available as ESRI Shapefiles or the OGC standard formats GML and KML.","Scottish Natural Heritage","Other"
"DataSet7","http://www.improvementservice.org.uk/national-gazetteer/","Scotland National Address Gazetteer","National Address Gazetteer","Improvement Service","Other"
"DataSet8","http://www.sepa.org.uk/about_us/publications.aspx","Scottish Environment Protection Agency","A key role for SEPA is to monitor and report on the state of Scotland’s environment. We publish a wide range of environmental information and advise Ministers, partner bodies, regulated industry and the public on environmental issues.

The navigation on the left highlights our corporate publications. Throughout the website you can find specialist brochures, publications and reports","Scottish Environmental Protection Agency","Other"
"DataSet9","http://trafficscotland.org/","Traffic Scotland","Real time and future traffic information for Scotland","Traffic Scotland","Other"
